Page,Clicks,Impressions,CTR,Position,,,,,Page,Clicks
https://docs.python.org/3/library/datetime.html,4676,13562,34.48%,1.76,,library/datetime.html,4676,,library/,1294
https://docs.python.org/3/library/random.html,4395,16922,25.97%,3.81,,library/random.html,4395,,,
https://docs.python.org/3/tutorial/errors.html,3203,9988,32.07%,1.76,,#VALUE!,3203,,library/__future__.html,24
https://docs.python.org/3/library/re.html,2803,7249,38.67%,2.22,,library/re.html,2803,,,
https://docs.python.org/3/tutorial/datastructures.html,2223,13646,16.29%,3.46,,#VALUE!,2223,,library/__main__.html,68
https://docs.python.org/3/library/csv.html,2110,4164,50.67%,1.34,,library/csv.html,2110,,,
https://docs.python.org/3/library/json.html,2090,5039,41.48%,1.84,,library/json.html,2090,,library/_thread.html,9
https://docs.python.org/pt-br/3/library/venv.html,2056,5321,38.64%,2.07,,library/venv.html,2056,,,
https://docs.python.org/3/library/tkinter.html,1962,5303,37.00%,1.47,,library/tkinter.html,1962,,library/2to3.html,46
https://docs.python.org/,1873,10515,17.81%,1.18,,#VALUE!,1873,,,
https://docs.python.org/pt-br/3/library/datetime.html,1792,7928,22.60%,1.95,,library/datetime.html,1792,,library/abc.html,355
https://docs.python.org/3/library/venv.html,1689,3500,48.26%,1.53,,library/venv.html,1689,,,
https://docs.python.org/3/library/time.html,1591,2940,54.12%,1.86,,library/time.html,1591,,,
https://docs.python.org/3/library/math.html,1435,2766,51.88%,1.61,,library/math.html,1435,,library/argparse.html,720
https://docs.python.org/pt-br/3/tutorial/inputoutput.html,1345,6738,19.96%,2.74,,#VALUE!,1345,,,
https://docs.python.org/3/library/os.html,1338,2846,47.01%,1.41,,library/os.html,1338,,library/array.html,449
https://docs.python.org/pt-br/3/tutorial/index.html,1110,3567,31.12%,3.41,,#VALUE!,1110,,,
https://docs.python.org/3/library/collections.html,1096,2669,41.06%,1.88,,library/collections.html,1096,,library/ast.html,76
https://docs.python.org/pt-br/3.7/library/random.html,1023,3917,26.12%,2.48,,library/random.html,1023,,library/ast.html,5
https://docs.python.org/3/tutorial/classes.html,1015,4056,25.02%,2.12,,#VALUE!,1015,,library/ast.html,2
https://docs.python.org/3/library/logging.html,970,2012,48.21%,2,,library/logging.html,970,,library/ast.html,2
https://docs.python.org/3/library/subprocess.html,943,1571,60.03%,1.11,,library/subprocess.html,943,,library/asyncio-dev.html,16
https://docs.python.org/pt-br/3/library/,933,2254,41.39%,1.42,,library/,933,,library/asyncio-dev.html,2
https://docs.python.org/3/library/functions.html,917,4482,20.46%,5.11,,library/functions.html,917,,library/asyncio-eventloop.html,29
https://docs.python.org/pt-br/3/tutorial/errors.html,878,4228,20.77%,2.71,,#VALUE!,878,,library/asyncio-exceptions.html,1
https://docs.python.org/pt-br/3/howto/sorting.html,875,3173,27.58%,1.81,,#VALUE!,875,,library/asyncio-exceptions.html,1
https://docs.python.org/3/library/os.path.html,852,1517,56.16%,1.36,,library/os.path.html,852,,library/asyncio-future.html,10
https://docs.python.org/pt-br/3/library/math.html,760,1454,52.27%,1.76,,library/math.html,760,,library/asyncio-protocol.html,1
https://docs.python.org/3/library/unittest.html,755,1444,52.29%,1.25,,library/unittest.html,755,,library/asyncio-queue.html,56
https://docs.python.org/3/library/multiprocessing.html,748,1326,56.41%,1.16,,library/multiprocessing.html,748,,library/asyncio-queue.html,13
https://docs.python.org/3/library/typing.html,719,1286,55.91%,1.58,,library/typing.html,719,,library/asyncio-stream.html,10
https://docs.python.org/3/library/argparse.html,716,1291,55.46%,1.59,,library/argparse.html,716,,library/asyncio-subprocess.html,13
https://docs.python.org/3/library/itertools.html,714,1166,61.23%,1.2,,library/itertools.html,714,,library/asyncio-subprocess.html,10
https://docs.python.org/pt-br/3.8/howto/regex.html,658,2836,23.20%,2.05,,#VALUE!,658,,library/asyncio-subprocess.html,6
https://docs.python.org/3/library/enum.html,658,1088,60.48%,1.02,,library/enum.html,658,,library/asyncio-sync.html,32
https://docs.python.org/pt-br/3/tutorial/classes.html,622,2484,25.04%,2.29,,#VALUE!,622,,library/asyncio-sync.html,1
https://docs.python.org/pt-br/3/library/json.html,606,2838,21.35%,2.25,,library/json.html,606,,library/asyncio-task.html,303
https://docs.python.org/pt-br/3/library/tk.html,604,3806,15.87%,2.29,,library/tk.html,604,,library/asyncio-task.html,15
https://docs.python.org/3/tutorial/inputoutput.html,595,2955,20.14%,3.84,,#VALUE!,595,,library/asyncio-task.html,3
https://docs.python.org/3/library/threading.html,595,1912,31.12%,2.74,,library/threading.html,595,,library/asyncio-task.html,1
https://docs.python.org/3/tutorial/modules.html,595,1672,35.59%,2.1,,#VALUE!,595,,library/asyncio.html,437
https://docs.python.org/3/tutorial/venv.html,585,1772,33.01%,1.75,,#VALUE!,585,,library/asyncio.html,70
https://docs.python.org/3/library/pickle.html,584,1833,31.86%,1.54,,library/pickle.html,584,,library/asyncio.html,2
https://docs.python.org/pt-br/3/tutorial/datastructures.html,583,3622,16.10%,5.06,,#VALUE!,583,,library/asyncio.html,1
https://docs.python.org/3/library/idle.html,574,5518,10.40%,2.81,,library/idle.html,574,,library/asyncio.html,1
https://docs.python.org/pt-br/3/tutorial/introduction.html,567,2180,26.01%,1.63,,#VALUE!,567,,library/asyncore.html,3
https://docs.python.org/3/library/stdtypes.html,556,3440,16.16%,5.66,,library/stdtypes.html,556,,library/atexit.html,12
https://docs.python.org/pt-br/,543,1245,43.61%,1.56,,#VALUE!,543,,library/atexit.html,2
https://docs.python.org/3/library/sqlite3.html,529,2788,18.97%,3.64,,library/sqlite3.html,529,,library/audioop.html,3
https://docs.python.org/3/library/socket.html,529,1054,50.19%,1.52,,library/socket.html,529,,library/base64.html,271
https://docs.python.org/3/library/dataclasses.html,507,761,66.62%,1.02,,library/dataclasses.html,507,,library/base64.html,74
https://docs.python.org/3/library/unittest.mock.html,471,748,62.97%,1.36,,library/unittest.mock.html,471,,library/binascii.html,36
https://docs.python.org/pt-br/3/howto/logging.html,464,1702,27.26%,2.2,,#VALUE!,464,,library/bisect.html,55
https://docs.python.org/3/library/glob.html,455,1284,35.44%,2.02,,library/glob.html,455,,library/bisect.html,7
https://docs.python.org/3/library/asyncio.html,437,990,44.14%,1.46,,library/asyncio.html,437,,library/bisect.html,1
https://docs.python.org/3/library/pathlib.html,430,771,55.77%,1.26,,library/pathlib.html,430,,library/bisect.html,1
https://docs.python.org/3/library/sys.html,427,857,49.82%,1.53,,library/sys.html,427,,library/builtins.html,14
https://docs.python.org/3/library/exceptions.html,425,1233,34.47%,1.84,,library/exceptions.html,425,,library/builtins.html,4
https://docs.python.org/3/library/shutil.html,419,834,50.24%,1.42,,library/shutil.html,419,,library/bz2.html,5
https://docs.python.org/pt-br/3/library/statistics.html,406,879,46.19%,2,,library/statistics.html,406,,library/calendar.html,109
https://docs.python.org/3/library/pprint.html,406,638,63.64%,1.06,,library/pprint.html,406,,library/cgi.html,10
https://docs.python.org/pt-br/3/library/os.html,396,1704,23.24%,1.91,,library/os.html,396,,library/cgitb.html,1
https://docs.python.org/pt-br/3/library/re.html,396,1244,31.83%,1.81,,library/re.html,396,,library/cmath.html,63
https://docs.python.org/3/reference/import.html,383,905,42.32%,1.41,,#VALUE!,383,,library/cmath.html,7
https://docs.python.org/3/library/uuid.html,382,1728,22.11%,5.55,,library/uuid.html,382,,library/cmd.html,25
https://docs.python.org/3/library/xml.etree.elementtree.html,380,780,48.72%,1.36,,library/xml.etree.elementtree.html,380,,library/codecs.html,72
https://docs.python.org/3/tutorial/,376,6035,6.23%,1.06,,#VALUE!,376,,library/collections.abc.html,9
https://docs.python.org/3/howto/sorting.html,373,1982,18.82%,2.4,,#VALUE!,373,,library/collections.html,1096
https://docs.python.org/3/library/http.server.html,372,886,41.99%,1.92,,library/http.server.html,372,,library/collections.html,1
https://docs.python.org/3/library/hashlib.html,369,704,52.41%,1.51,,library/hashlib.html,369,,library/collections.html,1
https://docs.python.org/3/library/urllib.html,366,608,60.20%,1.04,,library/urllib.html,366,,library/colorsys.html,11
https://docs.python.org/3/library/queue.html,362,664,54.52%,1.11,,library/queue.html,362,,library/colorsys.html,5
https://docs.python.org/3/library/,361,1192,30.29%,1.54,,library/,361,,library/colorsys.html,1
https://docs.python.org/3/tutorial/controlflow.html,355,3355,10.58%,6.1,,#VALUE!,355,,library/compileall.html,2
https://docs.python.org/pt-br/3/tutorial/venv.html,355,1063,33.40%,2.28,,#VALUE!,355,,library/compileall.html,1
https://docs.python.org/3/installing/index.html,344,2953,11.65%,5.32,,#VALUE!,344,,library/concurrency.html,3
https://docs.python.org/pt-br/3/library/array.html,339,2951,11.49%,3.96,,library/array.html,339,,library/concurrent.futures.html,209
https://docs.python.org/pt-br/3/library/functions.html,335,2685,12.48%,4.75,,library/functions.html,335,,library/configparser.html,264
https://docs.python.org/3/library/pdb.html,324,900,36.00%,2.89,,library/pdb.html,324,,library/constants.html,13
https://docs.python.org/pt-br/3/tutorial/modules.html,321,1044,30.75%,2.29,,#VALUE!,321,,library/contextlib.html,58
